sentence,Label
যারা হাহা রিয়েক্ট দিতেছে তারা আসলে মেসি প্রেমী ফুটবলপ্রেমী না।প্রকৃত ফুটবলপ্রেমী কখনো একজন ফুটবল প্লেয়ার কে নিয়ে ট্রল করতে পারে না।,0
"মেসির ওজনের সাথে বিশ্বকাপের ওজন যোগ করে, সেই পরিমান কেক কাটা হবে।",0
আমিও যখন মুখস্ত করার পরও কোনো কথা ভুলে যায় তখন আপুটার মতই করি,0
শুভ জন্মদিন।,0
কনফার্ম জান্নাতি,0
মহান আল্লাহ সবাইকে হেদায়েত দান করুক ইনশাআল্লাহ আমিন,0
অথচ মেয়েটা রোনালদোর নামটাই ঠিকমতো উচ্চারণ করতে পারল না! উচ্চারণগত সমস্যা সম্ভবত!,0
"জীবনে যা দূঃখ পাইছি,তা অর্ধেকই বাংলাদেশের খেলা দেখে",0
সব সময়ই বেস্ট টিম বানায় আর দিন শেষ এ একই রেজাল্ট হয়,0
"পাপন সরে গেলে সমস্ত ক্রিকেট প্রেমীরা খুশি হবে, কে কে একমত?",0
তাহলে এই ওয়ার্ল্ড কাপ আমরা কোনো আশা করতে পারি না,0
"""রেডি করতে করতে দিন শেষ,পাপন সাহেব তার চেয়ারে আছেন বেশ""",0
"কত বিশ্বকাপে এলো আর গেলো আমাদের বিশ্বকাপের ভবিষ্যৎ শুধু সামনে নির্ধারিত হবে এভাবে চলতে থাকবে যুগের পর যুগ, পাপন তুমি এগিয়ে যাও",0
কোথাও বিনোদন না পেলেও পাপন কাকু সামনে আসলে আপনি বিনোদন পেতে বাধ্য,0
জারা খেলা বোঝে না তাদের কাছে দায়িত্ব গেলে জা হয় বর্তমান বাংলাদেশ ক্রিকেটে,0
পাপনদা কে বাংলাদেশের প্রধানমন্ত্রী হিসেবে দেখতে চাই। তিনি একাই এগারো,0
গত বিশ্বকাপের আগে বলেছিলো এই বিশ্বকাপের জন্য দল রেডি করছি।এখন বলছে তার পরের বিশ্বকাপের জন্য রেডি করছি। সার্কাস,0
"পাপন, এই বিশ্বকাপে আমি ক্যাপ্টেন হিসেবে খেলতে চাই বাংলাদেশ দলে।",0
মাহমুদুল্লাহকে বিশ্বকাপ পর্যন্ত সুযোগ দেওয়া উচিত।।।,0
আগামী দুই বছর পর ভাইয়া আপনি কই থাকবেন আপনাকে পাব কই। আপনি কামিয়াব আপনি সফল। সামনের বিশ্বকাপে আপনাকে আমরা দেখতে চাই,0
মাহমুদুল্লাহ রিয়াদকে কমপক্ষে এই বিশ্বকাপ পর্যন্ত দলে রাখা উচিত।।।,0
২ দিন পড়ে পড়ে নতুন নতুন কথা শুনি কিভাবে পারে পাপন কাক্কু আমার তো মাথায় দরে না,0
3560 সালের আগে বাংলাদেশ কোনদিনই কাপ পাবে না। আর ফুটবলে এই পৃথিবী যতদিন থাকবে কোনদিনই কাপ পাবেনা,0
কিছুদিন আগে বলছে আমাদের টার্গেট এশিয়া কাপ না বিশ্বকাপ এখন বলছে পরের বিশ্বকাপ পরের বিশ্বকাপ পর্যন্ত খেলোয়াড়া আবার অবসরে চলে যাবে,0
মাহমুদউল্লাহ কে চাই,0
পাপন ভাই খুব দূর দৃষ্টি সম্পন্ন মানুষ তাই আমরা যা দেখিনা তাই তিনি দেখেন।,0
"জি করেন নেক্সট, এর পরে আবার নেক্সট, এরপর আবার নেক্সট আর এভাবেই আপনি থাকবেন আমাদের মাঝে।",0
হাসা স্বাস্থ্যের জন্য খুবই উপকার। তবে এরও একটা লিমিড আছে!,0
"আজ নয় কাল ,কাল নয় পরের দিন এরপর দিন ,হতাশাজনক,",0
ওয়াল্ড কাপ আসার আগেই উনি এর পরের ওয়াল্ড কাপ নিয়ে প্লান শুরু,0
পাপোনের বাব এসেও চেষ্টা করলেও হবে না। যতো দিন পাপোন আছে ক্রিকেট বোডে।,0
আফসোস... এই জন্মে বাংলাদেশ বিশ্বকাপ পাবো না .... নিজের চোখে দেখতে পাবো না আফসোস,0
"পাপন তো এখন বিশ্বলেতা, আমেরিকার পেসিডেন্ড হিসেবে দেখতে চাই",0
"তুমি কবে অবসর নিবা বিসিবি থেকে সে অপেক্ষায় আছি ,,,তা না হলে সিনিয়র প্লেয়ার গুলি সময় থাকতে হারিয়ে যাবে ক্রিকেট অঙ্গন থেকে,,,",0
কি আর বলব পাপন স্যারকে,0
গত বিশ্বকাপে ভরাডুবির পর আপনারা কি করসেন?! এখন আবার আগামী বিশ্বকাপের গান গাইছেন?! স্বীকার করেন আপনারা ব্যার্থ...,0
আমার একটা প্রশ্ন।অন্যকোন দেশের বোর্ড সভাপতি কি দল নিয়ে এত হস্তক্ষেপ করে কি না?,0
"এশিয়া কাপে বললো আমরা এশিয়াকাপ না, অস্টেলিয়ার টি ২০ ওয়াল্ডকাপ নিয়ে ভাবছি। আর এখন বলছে পরবর্তী ওয়ালকাপ নিয়ে ভাবছি। মাতাল পাপন",0
২১২২ সালের বিশ্বকাপের প্রস্তুতি নিতে পারেন।,0
আমাদের অনুভূতি নিয়ে খেলা করার কথা এগুলো ।,0
এই বিশ্বকাপের জন্য তাহলে এতদিন কী প্রস্তুতি ছিল?,0
বাংলাদেশের ক্রিকেট ধ্বংসের দ্বারপ্রান্তে।,0
পাপনকে স্কোয়াডে রাখা উচিত।,0
"পাপন সাহেব এতদিন কি করছেন, আবার শুনতে হচ্ছে পরবর্তী বিশ্বকাপ, ততদিন আমরা বাছবো",0
এশিয়ায় শুনলাম বিশ্বকাপের প্রস্তুতির কথা,0
দুমুখো মানুষে দেশ ভরে গেছে।,0
বাংলাদেশে আতো বেশি আলোচনা করা হয় এিকেট নিয়ে,0
বিসিবি কমিটি কে বাতিল ঘোষণা করা হোক,0
নেক্সট বিশ্বকাপ আর আসেনা,0
খেলার খ জানে কিনা সন্দেহ আর সে কিনা বিসিবি'র সভাপতি নাকি এই পাপন যতদিন আছে ততদিন বাংলাদেশের ক্রিকেটের উন্নতি হবে না ।,0
পাপন ভাই কবে অবসরে যাবে,0
মোস্তাফিজ এর জায়গায় রুবেল,0
সৌম্য সরকার কে চাই,0
পাপন কাকু তো এর আগে ছয় মাস সময় চেয়েছিল,0
লজ্জা থাকা দরকার,0
পাপী ভাইকে কেউ একটা গজার পোল্টা দে,0
রিয়াদ ভাই কে চাই,0
রাজনীতি টাই খেলাটাকে শেষ করে দিলো,0
ভাই দয়া করে মাশরাফিকে দিয়ে আপনী বসে যান,0
পাপন খেলোয়াড়দের দায়বদ্ধতা থেকে মুক্তি দিলেন। তাহলে কি দরকার এই বিশ্বকাপে খেলা। নাকি এখনও অংশ গ্রহণই বড় কথা।,0
"ওনি ও শেখ হাসিনার মতো ২০৪১ শালের চিন্তা ভাবনা নিছে,,,,",0
খেলোয়াড়দের জাতীয় স্লোগান এখন দেখি বোর্ড সভাপতি ও পাইছে পরের সিরিজে ভুল থেকে শিক্ষা নিবো এখন বিসিবিও কয় এই বিশ্বকাপ নয় পরের বিশ্বকাপে,0
দোয়া করি নেক্সট বিশ্বকাপে আপনাকে সভাপতি যেন আর না দেখি।,0
"এত টাকা কই যায় পাপন দার পকেটে, না হলে ভালো প্লেয়ার কেনো বের হয় না",0
মামা সব জানে বলছে না,0
কাকা এইভাবে আর কতো দিন বলবেন??,0
"আপনি যেদিন বিদায় হবেন, সেদিন বাংলাদেশ বিশ্বকাপ জিতবে,ইনশাআল্লাহ, নিললয্য পাপন",0
যে কোন খেলার আগে পাপনের নাটক,0
রিয়াদ কে দলে দরকার,0
প্রতি বার একই কথা ই শুনছি,0
নিরলরজ পাপন,0
পাপন সাহেব আপনি ও নান্নু ডমিঙ্গো বাসার সুজন গামিনী ও জালাল ইউনুছ যতদিন দলের সাথে থাকবে ততদিন পযন্ত বাংলাদেশ দল দংশ হয়ে যাবে,0
যদি এরকম হয় তাহলে আপনি বোর্ডের সভাপতি পদ থেকে পদত্যাগ করেন পাপন সাহেব,0
সালা মানুষেরে সাথে বেইমানী,0
পাপন কি ক্রিকেট বোর্ড কিনে নিয়েছে যে ও আজীবন সভাপতি থাকবে,0
পাপুন্দা,0
জোরে আর জোরে শুনা যাচ্ছে না,0
সাংবাদিকদের এতো চুলকানি কেনো মাহমুদউল্লাহ রিয়াদ কে নিয়ে.?,0
মহান আল্লাহ সকলকে বুঝার তৌফিক দান করুক।,0
আরে পাপন শুওর এর বাচ্চা টাকা খায়ে যাচ্ছেআর এই ভারত সফর পুরোটাই ফিক্সিং মাদারচোদ পাপন টাকা খায়ে যাচ্চে জানোয়ার এর বাচ্চাওর মাথাটা কেউ পদ্দা সেতু তে পিলার এ ঢুকায় দে কেউ ভাই।,1
পাপন হালা চিন্তায়কালো হয়ে গেছে।,1
পাপনের দুই গালে জুতা মারো তালে তালে,1
পাপন একটা পাগল ,1
পাপন মাদাচোদ কে আল্লাহর কসম পাসে পেলে জোতা দিয়ে পিটাতাম,1
আমার মনে হয় সাকিব আল হাসান ঘুষ না নেওয়ায় পাপনের অনেক বড় লস হয়েছে তাই পাপন এই কাজ করেছে  শালা ঘুষখোর পাপন ,1
কুত্তার বাচ্চা এত খারাপ ওয়াক থু খানকির বাচ্চার মুখে,1
পাপন চুতিয়ার মুখে থু থু মারতেও ঘেন্না হচ্ছে ,1
সব শালারা পাছায় জুতার বারে,1
পাপনের পাচায় লাতি মারার সয়ম এসে গেছে ,1
ল্যাউড়ার পুত পাপন ,1
হাউয়ার পো পাপন ,1
হাউয়ার নাতি পাপন ,1
চুদানির পো পাপন ,1
ভুদার বেটা পাপন ,1
লটির পো পাপন ,1
লটির বেটা পাপন ,1
ভেড়াচ্চোদা পাপন ,1
মাউড়া চোদা পাপন ,1
তাসকিন কুত্তার বাচ্চা তুই,1
সাবার ম কাথা হলো পাপনের পদত্যাগ চাই। আর মাদারচোদ পাপনের বিচি কাইটা দেওয়া হোক,1
শালার পুত পাপন ,1
নবিরে গালি দিলে তার কোন বিচার হয় না আর কোন হান কার বালের খেলোয়ার মুসফিক তারে গালি দিলে সমস্যা তোর মুসির চোদ্দ গুস্টি চুদি খানকির পোলা,1
পা পোন্দা পুন্দি মাদারের চোদ,1
পাপন একটা মাদার চোদ শালার পুটকি দিয়া গরম ডিম ঢুকানো দরকার সাকিবের কিরিয়ার নষ্ট করার পাইতারা,1
পাপনের দুই গালে জুতা মারি তালে তালে।একটা লাইক একটা জুতা,1
মুশফিকের মায়রে চুদি সাথে ঐ ওভির মায়রেও চুদি,1
পাপন এর দুই গালে জুতা মারো তালে তালে,1
শালা পাপন তুই বেশি বারছো,1
বাল পাপনের বাল ছিড়বা দেইবেতন আরও কিছু বাড়াইদেই,1
সব চামচাগো মায়রে চুদি,1
একেক সালা রা ভুদা ভরে পায়তো তাই আর ভালো খেলাটা আসেনা। উলটা পালটা খেলে তখন। ফাউল টিম একটা।,1
যারা বলেছে কুমিল্লা জিতবে নাহ ওরা সবাই খানকি মাগীর বাচ্চা এটাই প্রমাণ হলো  ওদেরকে কুত্তা দিয়ে চুদা উচিত কুমিল্লা এবারো চ্যাম্পিয়ন হবেই হবে কুমিল্লা ! ,1
শালায় এই কারণেই খেলায় ডাব্বা মারে,1
যুক্তি আছে বলে ,1
মুশফিকুর ভাই একটা পুংটা মোটা রে দিয়া বল করাই,1
সিলেটের সবডির সুদার মাইঝে দুষ আছে বাইন্চুদ সব,1
আবাল চুদা পোলাপাইন,1
তুই তো মাদার চু* ****তর মারে কুকুরে চু***** আন্টির ছেলে।ভিডিও ডিলিট কর।শালা খাটাস সবাই একটা করে রিপোর্ট করুন ,1
পাপন একটা খানকির পুলাওরে লেঙটা করে রাস্তায় ছেড়ে দিন!ওরে মাইরা ফেলবে জনতা!বাইঞ্চুদ হইলো একটা মাদারচুদ,1
রুবেল তুই জিনিস রে মাদারিছি চুদাইস না হাহাহা,1
সালার পুত পাপনরে দেশ থাইকা তারাওর পাছায় আগে ব্লেট দিয়া চিরব তারপর লবন মরিচ দিব,1
পাপুইন্যা মাদার চুদ মুলে টিমটা শেষ,1
আশরাফুল শেষঅতঃপর সাকিবও শেষমাগীর বাচ্চা পাপ্পন,1
তোর কি বালের রাগ পাপন মাদারচুদ তোকে সাকিবের বাল ফালানোর কাজে দিবো,1
আর সৌম্য চুদিরভাই এইডা একটা শট খেল্লি জাতীয় টিমের ওপেনার হয়ে আর কবে খেলা শিখবি,1
হালার পুত পাপন হ্লা নমরুত ফেরাউন ও এত্তো বড দোখাবাজ ছিলনা!!হঠাও পাপন বাছাও ক্রিকেট,1
শুয়োরের বাচ্চা পাপন ,1
কুত্তার বাচ্ছা পাপন ,1
হারামির বাচ্চা পাপন ,1
হারামি পাপন ,1
হারামজাদা  ,1
হারামখোর,1
মাগীর রাজা - মাগরাজ ,1
পাপন খানকির পোলা আল্লাহ তোর বিচার করবে ,1
সালারপুতেরে জুরে একটা থাপ্পড় মারতে পারতাম,1
খানকির পোলারা চামচামি চোদায় সামান্য জিনিসটা নিয়া নাটক চুদায়,1
গুয়ার ভিতরে / হোগার ভিতরে ভইড়া দিমু…,1
ঠ্যাঁঙ কাইট্টা পুটকি দা ভইরা দুম!,1
হালা ল্যাওড়া চোদা,1
বানচোত পাপন ,1
পাপন  কুত্তাচোদা,1
পাপন  তর পুটকিত ধান ছড়াইয়া চড়ুই দিয়া খাওয়ামু,1
পাপন  বালি দিয়া চুদমু তরে খাঙ্কি মাগী!,1
সালা বরিশাইলার বাচা রবি। খানকির পোলা  লোকটা বলো কিছু বলে নাই  তুই বার বার লোকটা রে হাত দরে টানোছ কুতার বাচা,1
পোলা তোমার সাকিব এর পাশে দাঁড়ানোর কোনো যোগ্যতা নাই তোমার মতো পা কুত্তা রে ,1
পোন্দা নাকি পাপোন্দা খানকির পোলা আসলে আপোন্দা ,1
পাপন একটা মাদার চোদ ,1
রফিক আমার চেটের বাল মুশি রিয়াদ টাকা দে তাই হেতে ভাব চোদায়,1
মুসফিক গরুর মতো চিল্লাইলো ,1
পাপন বালের রয়েল বেঙ্গল উকুন,1
পাপন  তোর হউরিরে ডিগবাজী,1
পাপন  আল বদর,1
পাপন  তোর জাঙ্গীয়া খুইল্যা আগুন লাগায় দিমু,1
পাপন মাদারচোদ ,1
বেয়াদব এর বাচ্চা খুব খারপ বেয়াদব সালা বেয়াদব লুইচ্চা ,1
আবাল চুদা টাইটেল,1
বালের কুট কুট মোসাদ্দেক একটারে নিছে সিলেট আর পাইছে না আবার কেপ্টেন অ বানাইসে হায়রে বিনোদন  এর থেকে আমাদের সিলেট এর লকাল প্লেয়ার তান্না আরও অন্যান্য রা অ অনেক ভালো,1
এখানে একটা প্রতিবন্ধী আছে সালা আগে রাস্তা ঘাটে করতো রোস্ট হ‌ওয়ার পর থেকে এখন আর দেখা জায় না জনি প্রতিবন্ধী,1
খাঙ্কিরপোলা,1
খান্কি মাগির পোলা,1
চোদনা,1
 চুদির ভাই,1
চুতমারানি,1
এটা একটা বালের কাপ শুরু হইছে পাপন গ্রেট মাদারচুদ,1
শালায়(সাব্বির) পুরাই একটা মাল।,1
ইসসসকালাহাসের মুখের ভাষা কি মন চায় জুতা মারি,1
পাপন খানকির পোলা এইসব করছে। একটা কুত্তার বাচ্চা। পাপন ,1
পাপন  বাল ফালায়া খালে নামানো,1
পাপন  বাল ফালায়া আটিঁ বান্ধা,1
 গুদের বাল,1
মাগিবাজ,1
মাইগ্যা,1
বেশ্যা মাগী,1
তুই গাঁজা খাইয়া আয়ছত সাকিব ইংলেন্ডে হয়ে খেলবে কুওার বাচ্চা ফেমাছ হতো চাছ এটা তর ফুটকি দিয়া বরমু,1
পাপুইন্না মাদারচুদ মাগীর ছেলে মাগীর দালান তোরে লাথি মেরে বিসিবি থেকে বাহির করা উচিৎ ,1
শালা পাপন তুই বেশি বারছো ,1
চেবলা মাগির পোলা বুয়া খবর দেয়ার জন্য তোর মার বোদা দিয়ে গরম ডিম ঢুকানো হোক ,1
সালারে জুতা পিটা কর পাপোন্দা,1
যেই হারামির বাচ্চা গুলা ডিসলাইক দিয়েছে সেগুলো একটাও মানুষেরচুদা না ,1
এই ভিডিও দেখার পরে আমার মনে হইলো মুশফিক একটা চ্যাটের বাল ,1
শালায় এই কারণেই খেলায় ডাব্বা মারে,1
শালা বাওন শামিম বোকাচুদা তুই তো সব মজা আরো নষ্ট করে দিলি নরমাল একদম এই আবাল কি আর চেঞ্জ হবেনা,1
চুদির পোলা,1
তর মায়রে চুদি,1
 তর মায়রে বাপ,1
 শালা,1
শালার পো শালা,1
হুমুন্দির পুত,1
মাঙ্গির পুত,1
সাব্বির রহমান একটা বালের খেলোয়ার ,1
শামীম হালার পো ,1
তরা শালা না খেলেই প্লেয়ারদের চাইতে বেশি টাকা মারস তাইলে তাদের ত জলবেই,1
মাদারচোদ আগরওয়ালের হোগায় রড ঢুকানো উচিত।।। ,1
পাপন একটা বুসকি মাগীর পোলা ,1
বলদ স্ট্রাইকস এগেইন জানে না কোন ক্রিকেটের বালটাও আইছে এখানে কথা বলতে,1
বিশ্বাস করেন অনকে কেঁদে ছি সাকিব ভাইয়ে জন্য। সালা পাপন তুই বুঝবি এবার ,1
পাপন মাগির পোলারে আমি পাইলে ওর দুইটা বিচি গেলে দিতাম।,1
সাবিবর যখন ব্যাটিং এ আসে তখন আমি অনেক থাকি।কিনতু ভাই যখন খারাপ করে তখন জুতা মারতে মন চায়।,1
বাল ছাল তর সাউয়া,1
শালায় এই কারণেই খেলায় ডাব্বা মারে,1
ভুল বলেছেন ধূলোয় নয় মাটিতে মিশে যায়।,0
আল্লাহ সবাইকে জান্নাতের মেহমান হিসেবে কবুল করুন,0
"আমি যেতে চাই তবে জীবিত অবস্থায় নয় "" একদম মৃত্যু অবস্থায় - জীবন আমার কাছের কষ্ট আর একঘ্যামী লাগছে",0
ঠিক,0
আমিন,0
"- আমার বান্দাদের জানিয়ে দাও যে,,আমি নিশ্চয় ~ ক্ষমাশীল ও পরম দয়ালু!",0
আপনার কিসের এত অহংকার। কিসের এত পাওয়ার। ভাই সবেরা মহান আল্লাহ তায়ালা আপনাদের বুঝার তৌফিক দান করুন আমিন,0
কালিমার দাওয়াত দিয়ে গেলাম। লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসূলুল্লাহ (সাঃ)।,0
-আয়তুল কুরসি,0
অনিচ্ছা সত্ত্বেও একদিন আমরা সবায় এখানের পথযাত্রী হব।,0
জান্নাত দান করুক আমিন,0
আল্লাহ তাআলা আমাদের সকলকে কবরের কঠিন আজাব থেকে হেফাজত করেন আমিন,0
এখানে আল্লাহ যেন ভালো রাখে আমিন,0
এটাই চিরন্তন সত্য,0
"কবর,,,দরজা জ্বানালাবিহীন ছোট্ট একটি ঘর।",0
বর্তমান সময়ের মানুষ এতই ভোগ-বিলাসে আচ্ছন্ন হয়েছে যে পরকালের কথা বে মালুম হয়ে গেছে...,0
রাইট এটাই বাস্তব।,0
এটাই চিরন্তন সত্য,0
তারপরও দুনিয়ায় বসে যা করে যাইতে পারে তাতেই লাভ মরার পথে বসেও ভাব অহংকার,0
২: আল-বাক্বারাহ:আয়াত: ৩৮,0
"মৃত্যুর স্বাদ সবাইকে নিতেই হবে, এটাই আসল ঠিকানা",0
এটাই চিরন্তন সত্য,0
এটাই চিরস্থায়ী জায়গা,0
জান্নাত দান করুক আমিন,0
এটাই চিরন্তর সত্য,0
আল্লাহ এই কবরে যাওয়ার আগে কবরের ছামানা যোগাড় করবার তৌফিক দান করুন আমিন আমিন আমিন,0
কোন একদিন আমিও চলে যাব আপনি চলে যাবেন তাই সবার জন্য সবাই দোয়া করবেন আল্লাহ তা'আলা যেন সবাইকে জান্নাত দেয় আমিন,0
"আল্লাহ কাছে প্রার্থনা করি আল্লাহ যেনো খুব তাড়াতাড়ি এখানে নিয়ে যায়,",0
ঠিক এটাই সবার বাড়ি সুবাহানাল্লাহ আলহামদুলিল্লাহ মাশাআল্লাহ আমিন সুবাহানাল্লাহ আল্লাহ আমাদের সকলকে বুঝার তৌফিক দান করুন আমীন আমীন আমীন,0
সেটা ত আর সবাই বুঝে না যদি বুঝত তাহলে কেউ কারোর সাথে খারাপ ব্যবহার করত না ভালবাবে চলত খারাপ কাজ থেকে সবাই সাংবান থাক,0
জীবনের সব কিছুই মিথ্যে,0
জান্নাত দান করুক আমিন,0
এটাই চিরন্তর সত্য,0
আল্লাহ আমাদের বুঝদান করুক,0
আল্লাহ পাক যেন সকল কবর বাসীদের কে জান্নাতুল ফেরদৌসের উচ্চ মকাম দান করেন। আমিন,0
এটাই চিরন্তন সত্য। মহান আল্লাহ পাক মৃত্যুর আগে আমাদের সকলকে হেদায়েত দান করুন।,0
এটাই সত্য,0
আসসালামু আলাইকুম আহলাল কবুর,0
এটাই সত্য,0
আল্লাহ আমাদের সবাই কে বুঝার তৌফিক দান করুন,0
এই কথাটা অনেকেই বোঝে না।কেউ কেউ আছে যারা এর ভিতরে গিয়ে দেহ মিশে যাবে কিন্তু তাদের অহংকার মিশে যাবে না।,0
জান্মাত দান করুক আমিন,0
হাজারো স্বপ্নগুলোর সমাপ্তি ঘটবে কোনো এক বৃষ্টি ভেজা কবরস্থানে,0
"মনটা চায় সব কুটনি আর অকৃতজ্ঞ গুলোকে এখানে হাজির করি,,,তবুও যদি মহান আল্লাহ তায়ালা ওদের হেদায়েত দান করে।",0
"এক দিন সবাইকে যেতে হবে, সবাই মনের অহংকার ত্যাগ করি, আল্লাহ তায়ালা পথে চলে আশি, আর কবর বাসি কে জান্নাত বাসি করুন",0
আল্লাহ সবাইকে জান্নাতুল ফেরেশতা দান করুক আমিন,0
তবুও মানুষ তার টাকার অহংকার এ মানুষকে মানুষ ভাবতে ভুলে যায়।।,0
এটাই সত্য,0
প্রতিমাসে ১বার করে হলেও সবার প্রিয়জনের কবরস্থানে যাওয়া উচিৎ।।,0
"আসল নিজ বাড়ি,, কি ভাবে থাকবো আল্লাহ একটু বলবা যে মেয়ে কখনো রাতের অন্ধকারে এক ঘরে এক রুমে সুয় নাই সেই মেয়েটা কিভাবে থাকবে আল্লাহ,,,ইয়া আল্লাহ তুমি আমাকে হেদায়ত করো",0
"আমি যাওয়ার জন্য প্রস্তুত, মহান আল্লাহর দরবারে আকুল আবেদন মৃত্যুর সময় মূখে পরতে পারি লা ইলাহা ইললাহু মুহাম্মদুর রাসুলুল্লাহ (স:).",0
মৃত্যুর কথা সারদিনে একবার ভাবলে পৃথিবী পাল্টে যাবে,0
জান্নাত দান করুক আমিন,0
ইয়া আল্লাহ এই ঘরে যাওয়ার আগে যেন ইমানের সহীতে যেতে পারি ।আল্লাহ ঁতুমি তাওফীক দান কর।আমিন।,0
"সেই সবচেয়ে বুদ্ধিমান,যে মৃত্যুর কথা সরন করে এবং দুনিয়ায় সে ভাবে চলে...",0
আল্লাহ সবাইকে জান্নাতবাসী করুক আমিন,0
আসসালামু আলাইকুম আহলাল কবুর,0
মহান আল্লাহ সকল কবর বাশিকে,0
হে আল্লাহ আপনি আমাদের সকলকে কবরের কঠিন আজাব‌ থেকে রক্ষা করুন আমীন,0
আল্লাহ তায়ালায় পতিটি কবর বাশিকে জান্নাতুল ফেরদৌসের দানকরুক আমিন,0
লিংকে দেয়া ভিডিও টি দেখুন কেঁদে ফেলবেন।।,0
